Year,Mo,Dy,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed
1990,2.0,2.0,Sheveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,3.0,,,,,,,,,,
1990,2.0,10.0,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,4.0,32.0,,,,,32.0,,,,
1990,3.0,26.0,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2.0,1.0,,,,,1.0,,,,
1990,4.0,18.0,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2.0,1.0,,,,,1.0,,,,
1990,5.0,29.0,Coropuna,Peru,Peru,-15.52,-72.65,6377,Stratovolcano,3.0,,,,,,,,,,
1990,6.0,24.0,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,,6.0,,,,,6.0,,,,
1990,7.0,19.0,Santa Maria,Guatemala,Guatemala,14.757,-91.552,3745,Stratovolcano,3.0,4.0,,,,,4.0,,,,
1990,10.0,19.0,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2.0,1.0,,,,,1.0,,,,
1990,11.0,21.0,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,,1.0,,,,,1.0,,,,
1990,11.0,25.0,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,,4.0,,,,,4.0,,,,
1991,6.0,3.0,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,Complex volcano,1.0,43.0,,,,,43.0,,,,
1991,6.0,15.0,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6.0,350.0,,4.0,,,800.0,,4.0,,
1991,6.0,,Mutnovsky,Kamchatka,Russia,52.449,158.196,2288,Complex volcano,,1.0,,,,,1.0,,,,
1991,7.0,3.0,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,2.0,,,,,,,,,,
1991,8.0,8.0,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,5.0,,,,,,,,,,
1991,10.0,24.0,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,1.0,1.0,,,,,1.0,,,,
1991,12.0,14.0,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,2.0,,,,2.5,,,,,2.5,
1992,1.0,21.0,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,2.0,2.0,,,,,2.0,,,,
1992,3.0,18.0,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,,1.0,,2.0,,,1.0,,2.0,,
1992,4.0,10.0,"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,728,Cinder cone,3.0,11.0,,50.0,3.0,,11.0,,50.0,3.0,
1992,5.0,11.0,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,1.0,6.0,,1.0,,,6.0,,1.0,,
1992,7.0,5.0,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,2.0,1.0,,5.0,,,1.0,,5.0,,
1992,7.0,12.0,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1.0,6.0,,,,,6.0,,,,
1992,9.0,17.0,Spurr,Alaska-SW,United States,61.299,-152.251,3374,Stratovolcano,4.0,1.0,,,2.0,,1.0,,,2.0,
1992,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3.0,3.0,,,,,3.0,,,,
1993,1.0,14.0,Galeras,Colombia,Colombia,1.22,-77.37,4276,Complex volcano,2.0,9.0,,,,,9.0,,,,
1993,1.0,21.0,Wurlali,Banda Sea,Indonesia,-7.125,128.675,868,Stratovolcano,,1.0,,12.0,,,1.0,,12.0,,
1993,2.0,2.0,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2.0,75.0,,,,,75.0,,,,
1993,3.0,12.0,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,1.0,2.0,,,,,2.0,,,,
1993,4.0,19.0,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,1.0,,22.0,,,1.0,,22.0,,
1993,6.0,13.0,Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,1.0,1.0,,5.0,,,1.0,,5.0,,
1993,6.0,23.0,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,Complex volcano,1.0,1.0,,,,,1.0,,,,
1993,6.0,26.0,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1.0,4.0,,,,,4.0,,,,
1993,10.0,4.0,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,,14.0,,,,,14.0,,,,
1994,1.0,15.0,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,3.0,1.0,,,,,1.0,,,,
1994,2.0,3.0,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3.0,6.0,,,,,6.0,,,,
1994,5.0,29.0,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,1.0,1.0,,,,,1.0,,,,
1994,6.0,6.0,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,,,,,,,650.0,,,2.4,200.0
1994,9.0,19.0,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,3.0,4.0,,,86.0,,4.0,,,86.0,
1994,11.0,3.0,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,3.0,31.0,,,,,31.0,,,,
1994,11.0,22.0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3.0,60.0,,,,,60.0,,,,
1995,2.0,4.0,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,3.0,2.0,,,,,2.0,,,,
1995,2.0,11.0,Yakedake,Honshu-Japan,Japan,36.227,137.587,2455,Stratovolcano,1.0,4.0,,,,,4.0,,,,
1995,4.0,2.0,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,2.0,,,20.0,,10.0,,,20.0,,10.0
1995,4.0,7.0,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,3.0,1.0,,,,1.0,1.0,,,,1.0
