Year,Month,Day,Name,Location,Country,Latitude,Longitude,Elevation,Type,Status,Time,VEI,Agent,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION
2010,1,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
2010,3,31.0,Eyjafjallajokull,Iceland-S,Iceland,63.63,-19.62,1666,Stratovolcano,Historical,D1,2.0,,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,
2010,5,27.0,Pacaya,Guatemala,Guatemala,14.381,-90.601,2552,Complex volcano,Historical,D1,1.0,T,1.0,1.0,3.0,1.0,,,,1.0,3.0,1.0,1.0,1.0,3.0,1.0,,,,1.0,3.0,1.0
2010,5,29.0,Sarigan,Mariana Is-C Pacific,United States,16.708,145.78,538,Stratovolcano,Holocene,U,,,,,,,,,,,,,,,,,,,,,,
2010,8,6.0,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,Historical,D1,3.0,,4.0,1.0,,,5.0,1.0,,,,1.0,4.0,1.0,,,5.0,1.0,,,,1.0
2010,8,30.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene,U,,,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,
2010,10,26.0,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical,D1,,,367.0,3.0,,,277.0,3.0,600.0,4.0,,3.0,367.0,3.0,,,277.0,3.0,600.0,4.0,,3.0
2010,11,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
2010,12,28.0,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,Historical,D1,,,,,,,,,,1.0,,,,,,,,,,,,
2011,1,3.0,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical,D1,,M,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,
2011,1,28.0,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,Historical,D1,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,
2011,2,23.0,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,1565,Stratovolcano,Historical,D1,2.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
2011,3,18.0,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,Historical,D1,,,,,,,,,,1.0,,,,,,,,,,1.0,,
2011,4,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1,4.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
2011,6,4.0,Puyehue,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,Holocene,U,4.0,,,,,,,,,2.0,,,,,,,,,,2.0,,
2011,6,22.0,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,Holocene,Unknown,3.0,,31.0,1.0,,,,3.0,,1.0,,,31.0,1.0,,,,3.0,,1.0,,
2011,7,9.0,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,D2,,,,,,,,,,1.0,,,,,,,,,,1.0,,
2011,7,17.0,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,Historical,D1,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
2011,12,27.0,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,Historical,D1,3.0,m,4.0,1.0,,,,1.0,,,,,4.0,1.0,,,,1.0,,,,
2012,2,10.0,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical,D1,,,,,,,,,,2.0,,,,,,,,,,2.0,,
2012,3,2.0,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical,D1,,L,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
2012,12,12.0,Tolbachik,Kamchatka,Russia,55.83,160.33,3682,Shield volcano,Historical,D1,,,,,,,,,,1.0,,,,,,,,,,1.0,,
2013,2,12.0,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical,D1,,M,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,
2013,2,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,Historical,D1,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0
2013,5,7.0,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1,,,5.0,1.0,,,8.0,1.0,,,,,5.0,1.0,,,8.0,1.0,,,,
2013,8,10.0,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,Historical,D1,3.0,,5.0,1.0,,,,,,,,,5.0,1.0,,,,,,,,
2013,9,1.0,Ubinas,Peru,Peru,-16.355,-70.903,5672,Stratovolcano,Historical,D1,,,,,,,,,,1.0,,,,,,,,,,1.0,,
2013,9,4.0,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,Historical,D1,,,,,,,,,,1.0,,,,,,,,,,1.0,,
2013,9,15.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene,U,2.0,,,,,,,,,2.0,,,,,,,,,,2.0,,
2013,12,13.0,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,Historical,D1,,G,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
2014,2,1.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene,U,,,17.0,1.0,,,3.0,1.0,,1.0,,2.0,17.0,1.0,,,3.0,1.0,,1.0,,2.0
2014,2,13.0,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,Historical,D1,,,7.0,1.0,,,,,,3.0,4098.0,4.0,7.0,1.0,,,,,,3.0,4098.0,4.0
